OBJECTID,Place,תאריך,שעות שהייה,lng,lat
1276117,פינסקר - מרכז מקצועי - שירותי בריאות כללית - ראשון לציון,28/6/2020,08:00 - 10:30,34.80713460000000,31.968514200000100
1276118,קניון רמלוד - רמלה,28/6/2020,13:00 - 13:30,34.88875890000000,31.932925900000000
1276119,"שדרות הרצל 91, רמלה",29/6/2020,12:00 - 12:20,34.87696100000010,31.926351200000100
1276120,מועדון סוויפט - ראש העין,28/6/2020,16:30 - 17:30,34.97333680000000,32.09331530000000
1276121,סלון גאולה - ירושלים,28/6/2020,11:30 - 12:00,35.217012400000000,31.78870260000010
1276122,איטליז חלילי אמיר - לוד,28/6/2020,13:10 - 13:30,34.89581700000010,31.954619300000000
1276123,קניון רמלוד - רמלה,29/6/2020,13:00 - 13:15,34.88875890000000,31.932925900000000
1276124,הרמוניה בגן צומת כנות - גדרה,28/6/2020,21:00 - 23:30,34.781964800000000,31.802391700000000
1276125,"הרצל 71, ראשון לציון",28/6/2020,14:00 - 16:00,34.80299900000010,31.965742600000100
1276126,סופר דוש יוספטל - בת ים,27/6/2020,04:00 - 16:00,34.75677220000010,32.01524980000010
1276127,בנק לאומי טירה - טירה,28/6/2020,08:50 - 09:18,34.95360880000000,32.23196480000010
1276128,מרפאת טירה צפון- כללית - טירה,28/6/2020,09:34 - 09:59,34.95199310000000,32.23938880000000
1276129,"קופ""ח כללית - באקה אל-ע'רביה",28/6/2020,18:30 - 19:00,35.04202350000000,32.412668100000100
1276130,קניון רמלוד - רמלה,29/6/2020,11:30 - 12:00,34.88875890000000,31.932925900000000
1276131,כל בו חצי חינם - הוד השרון,28/6/2020,14:00 - 23:00,34.90192600000010,32.132119000000000
1276132,סופר טוב - מודיעין מכבים רעות,29/6/2020,09:00 - 09:20,35.00334910000000,31.892508400000100
1276133,מלון בוטיק ווסט תל אביב - תל אביב יפו,27/6/2020,00:00 - 23:30,34.79161200000000,32.13892500000000
1276134,מלון בוטיק ווסט תל אביב - תל אביב יפו,28/6/2020,00:00 - 14:30,34.79161200000000,32.13892500000000
1276135,"קופ""ח מאוחדת - אשקלון",28/6/2020,08:00 - 10:00,34.580313800000100,31.671336500000100
1276136,מרכז רפואי מעייני הישועה - בני ברק,29/6/2020,15:30 - 17:30,34.844088000000100,32.084959000000000
1276137,"הרקון 2, הוד השרון",28/6/2020,09:00 - 11:00,34.90146640000010,32.133340100000100
1276138,חסונה חומרי בניין - לוד,28/6/2020,11:00 - 11:30,34.89542770000000,31.949861200000000
1276139,מסעדת השלום - לוד,28/6/2020,11:30 - 12:00,34.89805560000010,31.95500000000000
1276140,נמל התעופה בן גוריון - ,28/6/2020,17:30 - 18:30,34.88541120000010,32.00553200000010
1276141,ספורטק עיר ימים - נתניה,29/6/2020,20:00 - 22:00,34.84445420000000,32.298175600000000
1276142,"שדרות בן גוריון 170, נתניה",28/6/2020,20:00 - 22:00,34.84605510000010,32.28203780000010
1276143,ישיבת בית מתתיהו - בני ברק,28/6/2020,08:00 - 23:30,34.82722720000000,32.089391000000000
1276144,אחים לוי יבואני קרמיקה - שוהם,28/6/2020,09:00 - 10:00,34.95569160000010,32.00912130000010
1276145,ויקטורי - אלקנה,29/6/2020,15:00 - 21:30,35.033530100000100,32.111124500000100
1276146,רויאלטי - נהריה,28/6/2020,09:00 - 20:30,35.10023400000010,33.004151000000000
1276147,המשביר לצרכן - חדרה,28/6/2020,10:00 - 15:30,34.92166670000010,32.43805560000000
1276148,"קופ""ח מאוחדת - ראשון לציון",28/6/2020,17:30 - 18:00,34.79713620000010,31.964333700000100
1276149,"המרכז הרפואי ע""ש אדית וולפסון - חולון",28/6/2020,18:30 - 20:00,34.76270740000010,32.03603090000010
1276150,נפרולייף אום אלפחם - אום אל-פחם,1/7/2020,08:00 - 13:00,35.14852900000010,32.51712700000010
1276151,בית קברות גני אסתר - ראשון לציון,28/6/2020,12:30 - 13:30,34.81929450000010,31.97161630000010
1276152,ביטוח לאומי - באר שבע,28/6/2020,09:30 - 10:30,34.80460850000000,31.246378100000100
1276153,בנק מרכנתיל - ג'דיידה מכר,30/6/2020,11:00 - 11:30,35.150573000000100,32.928656000000000
1276154,TULI'S - כפר סבא,28/6/2020,18:30 - 19:30,34.928414700000100,32.176460500000100
1276155,TULI'S - כפר סבא,29/6/2020,18:00 - 19:00,34.928414700000100,32.176460500000100
1276156,מגה בעיר - גני תקווה,28/6/2020,18:00 - 18:30,34.86885280000010,32.05695300000010
1276157,יש חסד - בני ברק,28/6/2020,18:00 - 18:30,34.83882470000000,32.091178300000000
1276158,לייטהאוס מבית מלונות בראון - תל אביב יפו,27/6/2020,03:00 - 05:00,34.768147500000100,32.073308000000100
