,City,Population as of 2018,Number of tests so far,Verified patients discovered so far,Number of recoverers,The growth rate of verified patients in the last 3 days,The number of verified patients added in the last 3 days,"Actual morbidity rate ** per 100,000",dates
0,חורה,16983,1246,132,1,0.015384615384615385,2,771.3595948890066,2020-05-11
1,דייר אל-אסד,12435,4528,152,86,0.0,0,530.7599517490953,2020-05-11
2,בני ברק,195298,29935,2901,2080,0.0017265193370165745,5,420.3832092494547,2020-05-11
3,עלי,3974,251,19,10,0.0,0,226.47206844489182,2020-05-11
4,יבנאל,4175,227,18,10,0.0,0,191.61676646706587,2020-05-11
5,מודיעין עילית,73808,5113,412,280,0.0,0,178.8424019076523,2020-05-11
6,בית שמש,120812,5978,517,304,0.007797270955165692,4,176.3069893719167,2020-05-11
7,אלעד,46760,4747,387,311,0.0,0,162.53207869974338,2020-05-11
8,מצפה רמון,4991,322,26,18,0.0,0,160.28851933480266,2020-05-11
9,ביתר עילית,59240,3177,293,200,0.003424657534246575,1,156.98852126941256,2020-05-11
10,בענה,8355,1690,34,21,0.0,0,155.59545182525434,2020-05-11
11,ירושלים,914559,59638,3639,2454,0.0011004126547455295,4,129.57064552423626,2020-05-11
12,נתיבות,36511,1844,101,54,0.01,1,128.72832844896058,2020-05-11
13,חריש,8737,379,16,6,0.0,0,114.45576284765937,2020-05-11
14,כוכב יעקב,8602,628,59,50,0.0,0,104.62683096954197,2020-05-11
15,ערערה-בנגב,17465,774,23,5,0.09523809523809523,2,103.06326939593473,2020-05-11
16,אפרת,10676,1107,64,53,0.0,0,103.03484451105282,2020-05-11
17,טבריה,44353,3857,167,125,0.0,0,94.69483462223525,2020-05-11
18,"כפר חב""ד",6724,426,44,38,0.0,0,89.2325996430696,2020-05-11
19,קרית יערים,5713,702,39,34,0.0,0,87.5196919306844,2020-05-11
20,פקיעין (בוקייעה),5851,657,15,10,0.0,0,85.45547769612033,2020-05-11
21,אור יהודה,34843,2936,145,118,0.013986013986013986,2,77.49045719369744,2020-05-11
22,רכסים,11841,568,40,31,0.0,0,76.00709399543958,2020-05-11
23,ג'סר א-זרקא,14732,2246,44,33,0.023255813953488372,1,74.66739071409177,2020-05-11
24,מג'ד אל-כרום,15275,1888,20,9,0.0,0,72.01309328968902,2020-05-11
25,טייבה,43144,1972,49,18,0.0,0,71.85240126089376,2020-05-11
26,אום אל-פחם,55324,2928,80,44,0.0,0,65.07121683175475,2020-05-11
