province,country,id,value,color
,Antigua and Barbuda,0,0,green
,West Bank and Gaza,,0,green
,Barbados,10,0,green
,Latvia,100,0,green
,Algeria,1,0.6192513368983957,orange
,Belarus,101,0.8828405491024287,red
,Lithuania,102,0,green
,Liberia,103,0,green
,Slovakia,104,0,green
,Liechtenstein,105,0,green
,Libya,106,0,green
,Madagascar,107,0.9400000000000001,red
,Mongolia,109,0,green
,North Macedonia,111,1.0046052631578946,red
,Mali,112,0.9712500000000001,red
,Morocco,113,0.25775401069518716,yellow
,Mauritius,114,0,green
,Mauritania,115,1.005,red
,Malta,116,0,green
,Oman,117,1.0000730994152045,red
,Maldives,118,0.7918181818181818,red
,Mexico,119,0.0,green
,Bahamas,12,0,green
,Malaysia,120,0.38727810650887573,yellow
,Mozambique,121,0,green
,Niger,125,0,green
,Belgium,128,0.09763585038814396,green
"""Korea"," South""",95,0,green
,Bangladesh,13,1.0004155730533681,red
,Andorra,132,0,green
,Luxembourg,135,0,green
,Monaco,137,0,green
,Montenegro,139,0,green
,Belize,14,0,green
,Bosnia and Herzegovina,15,0,green
,Nigeria,152,0.9525936599423631,red
,Norway,154,0,green
,Nepal,155,1.0014423076923078,red
,Suriname,157,0,green
,Nicaragua,158,0.4325301204819277,orange
,New Zealand,159,0,green
,Bolivia,16,0.9455197132616487,red
,Paraguay,160,0,green
,Peru,161,0.07253653936822253,green
,Pakistan,162,1.0000324464633354,red
,Poland,163,0.7960659898477157,red
,Panama,164,0.9861323155216285,red
,Portugal,165,0.35780456852791875,yellow
,Papua New Guinea,166,0,green
,Guinea-Bissau,167,0.31842105263157894,yellow
,Qatar,168,0.9486928104575163,red
,Romania,170,0.436027397260274,orange
,Moldova,171,0.9610526315789474,red
,Philippines,172,0.9595673876871881,red
Puerto Rico,US,173,0.991732283464567,red
,Russia,174,0.36459028550241007,yellow
,Rwanda,175,0,green
,Saudi Arabia,176,0.7062183235867446,orange
,Saint Kitts and Nevis,177,0,green
,Seychelles,178,0,green
,South Africa,179,1.000190943807965,red
,Benin,18,0,green
,Senegal,182,0.9575757575757575,red
,Slovenia,183,0,green
,Singapore,185,0.49283405172413797,orange
,Somalia,186,0.911320754716981,red
,Spain,187,0.05307219662058372,green
,Saint Lucia,188,0,green
,Sudan,189,0.852,red
,Sweden,190,0.9197674418604651,red
,Syria,191,0,green
,Switzerland,192,0,green
,Trinidad and Tobago,193,0,green
,Thailand,194,0,green
,Togo,198,0,green
,Tunisia,200,0,green
,Azerbaijan,2,1.0018987341772152,red
,Brazil,20,0.0,green
,Turkey,201,0.20466455839168737,yellow
,Tanzania,204,0,green
,Uganda,205,0,green
,Ukraine,207,0.39906832298136646,yellow
,Burkina Faso,209,0,green
,Uruguay,210,0,green
,Bulgaria,21,0.3078947368421053,yellow
,Uzbekistan,211,0.6843434343434344,orange
,Saint Vincent and the Grenadines,212,0,green
