province,country,id,value,color,Change,value_old,color_old
"""Korea"," South""",95,0.033081783,green,yellow,0.041067041,green
,Afghanistan,30,1,red,,0.979708722,red
,Albania,3,0.483568075,orange,green,0.469483568,orange
,Algeria,1,0.953362256,red,,0.952472002,red
,Andorra,132,0.010291595,green,,0.030874786,green
,Angola,5,0.882352941,red,,0.5,orange
,Antigua and Barbuda,0,0,green,,0,green
,Argentina,7,1,red,,0.973554968,red
,Armenia,4,0.99913119,red,,0.981223697,red
Western Australia,Australia,mixed_66,0.015929204,green,,0.007079646,green
Northern Territory,Australia,mixed_67,0,green,,0,green
South Australia,Australia,mixed_68,0,green,,0,green
Queensland,Australia,mixed_69,0.016283525,green,,0.022988506,green
New South Wales,Australia,mixed_70,0.015267176,green,,0.01648855,green
Victoria,Australia,mixed_72,0.108789625,yellow,,0.139048991,yellow
Tasmania,Australia,mixed_73,0.011494253,green,,0.011494253,green
Australian Capital Territory,Australia,mixed_77,0,green,,0,green
,Austria,56,0.062619896,green,yellow,0.06563442,green
,Azerbaijan,2,0.972868217,red,,0.992311389,red
,Bahamas,12,0.125,yellow,green,0.142857143,yellow
,Bahrain,9,0.931350892,red,,0.928294574,red
,Bangladesh,13,0.983424995,red,,0.992572833,red
,Barbados,10,0.135135135,yellow,green,0.148648649,yellow
,Belarus,101,0.94486361,red,,0.953617516,red
,Belgium,128,0.185588827,yellow,,0.251437238,yellow
,Belize,14,0,green,,0,green
,Benin,18,-0.790123457,green,,0.609053498,orange
,Bhutan,31,0.571428571,orange,green,1,red
,Bolivia,16,1,red,,0.970103876,red
,Bosnia and Herzegovina,15,0.410334347,orange,green,0.489361702,orange
,Botswana,181,0.631578947,orange,,0,green
,Brazil,20,0.779605351,orange,red,0.940086802,red
,Brunei,22,0,green,,0,green
,Bulgaria,21,0.563526361,orange,green,0.623163354,orange
,Burkina Faso,209,0.216545012,yellow,green,0.272506083,yellow
,Burma,17,0.205555556,yellow,,0.985,red
,Burundi,28,1,red,,0.210526316,yellow
,Cambodia,24,0.011235955,green,,0,green
,Cameroon,34,1,red,,0.90545651,red
Manitoba,Canada,mixed_11,0.012048193,green,,0.03313253,green
Quebec,Canada,mixed_14,0.631404243,orange,,0.694953577,orange
New Brunswick,Canada,mixed_15,0.013605442,green,,0,green
Ontario,Canada,mixed_3,0.565010929,orange,,0.507575187,orange
Newfoundland and Labrador,Canada,mixed_44,-0.006153846,green,,-0.006153846,green
Nova Scotia,Canada,mixed_45,0.076470588,green,,0.095588235,green
Northwest Territories,Canada,mixed_46,0,green,,0,green
Prince Edward Island,Canada,mixed_48,0,green,,0,green
British Columbia,Canada,mixed_5,0.205621302,yellow,,0.187130178,yellow
Alberta,Canada,mixed_8,0.172182741,yellow,,0.238172589,yellow
Saskatchewan,Canada,mixed_9,0.298850575,yellow,,0.313218391,yellow
Yukon,Canada,mixed_26,0,green,,0,green
Nunavut,Canada,mixed_43,0,green,,0,green
,Cape Verde,41,0,green,,0,green
,Central African Republic,39,1,red,,0.894849785,red
,Chad,35,0.877224199,red,,0.877224199,red
,Chile,32,0.767441321,orange,red,0.984805748,red
Tibet,China,29,0,green,,0,green
Qinghai,China,29,0,green,,0,green
Inner Mongolia,China,29,0.108108108,yellow,,0.162162162,yellow
Jilin,China,29,0.315384615,yellow,,0.507692308,orange
Xinjiang,China,29,0,green,,0,green
Gansu,China,29,0,green,,0,green
Hong Kong,China,29,0.03622393,green,,0.024149286,green
Heilongjiang,China,29,0,green,,0.002967359,green
Shaanxi,China,29,0,green,,0,green
Zhejiang,China,29,0,green,,0,green
Shanxi,China,29,0,green,,0,green
Ningxia,China,29,0,green,,0,green
Hebei,China,29,0,green,,0,green
Macau,China,29,0,green,,0,green
Yunnan,China,29,0,green,,0,green
Guizhou,China,29,0,green,,0,green
Beijing,China,29,0,green,,0,green
Fujian,China,29,0,green,,0,green
Jiangsu,China,29,0,green,,0,green
Anhui,China,29,0,green,,0,green
Liaoning,China,29,0.01459854,green,,0.04379562,green
Guangxi,China,29,0,green,,0,green
Shandong,China,29,0,green,,0,green
Guangdong,China,29,0.002430134,green,,0.001215067,green
Jiangxi,China,29,0,green,,0,green
Hubei,China,29,2.69E-05,green,,0.000161481,green
Tianjin,China,29,0.015503876,green,,0.023255814,green
Hainan,China,29,0.011235955,green,,0.011235955,green
Hunan,China,29,0,green,,0,green
Henan,China,29,0,green,,0,green
Sichuan,China,29,0.007827789,green,,0,green
Chongqing,China,29,0,green,,0,green
Shanghai,China,29,0.03373494,green,,0.043373494,green
,Colombia,37,0.96199175,red,,0.962225161,red
,Congo (Brazzaville),26,0.877419355,red,red,0.787096774,orange
,Congo (Kinshasa),27,0.978839178,red,,0.887290168,red
,Costa Rica,38,0.414285714,orange,green,0.383673469,yellow
,Cote d'Ivoire,86,0.828493648,red,,0.951730419,red
,Croatia,79,0.046975089,green,green,0.118149466,yellow
Diamond Princess,Cruise Ship,cruise,0,green,,0,green
,Cuba,40,0.206439394,yellow,green,0.259469697,yellow
,Cyprus,43,0.068965517,green,,0.077961019,green
,Czechia,57,0.205983681,yellow,,0.152674524,yellow
Faroe Islands,Denmark,den_44,0,green,yellow,0,green
Greenland,Denmark,den_45,0,green,,0,green
,Denmark,den_46,0.198186315,yellow,,0.256059357,yellow
\u00c3\u0192\u00e2\u20ac\u00a6land Islands,Denmark,141,0.4,yellow,,0.4,yellow
,Diamond Princess,cruise,0,green,,0,green
,Djibouti,45,1,red,,0.351778656,yellow
,Dominica,46,0,green,,0,green
,Dominican Republic,47,0.875167386,red,,0.916083916,red
,Ecuador,48,0.307443736,yellow,red,0.207269296,yellow
,Egypt,49,1,red,,0.954887218,red
,El Salvador,54,1,red,,0.971764706,red
,Equatorial Guinea,51,0.973604061,red,red,0.566727605,orange
,Eritrea,53,0,green,,0,green
,Estonia,52,0.095354523,green,,0.08394458,green
,Eswatini,220,0.448863636,orange,yellow,0.534090909,orange
,Ethiopia,55,1,red,,0.870629371,red
,Fiji,60,0,green,,0,green
,Finland,59,0.348885077,yellow,yellow,0.440137221,orange
