Combined_Key,ids,ids_modified,01-02-2020,02-02-2020,03-02-2020,01-03-2020,01-04-2020,01-05-2020,01-06-2020,02-03-2020,02-04-2020,02-05-2020,02-06-2020,03-03-2020,03-04-2020,03-05-2020,03-06-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,05-02-2020,05-03-2020,05-04-2020,05-05-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,13-02-2020,13-03-2020,13-04-2020,13-05-2020,14-02-2020,14-03-2020,14-04-2020,14-05-2020,15-02-2020,15-03-2020,15-04-2020,15-05-2020,16-02-2020,16-03-2020,16-04-2020,16-05-2020,17-02-2020,17-03-2020,17-04-2020,17-05-2020,18-02-2020,18-03-2020,18-04-2020,18-05-2020,19-02-2020,19-03-2020,19-04-2020,19-05-2020,20-02-2020,20-03-2020,20-04-2020,20-05-2020,21-02-2020,21-03-2020,21-04-2020,21-05-2020,22-02-2020,22-03-2020,22-04-2020,22-05-2020,23-02-2020,23-03-2020,23-04-2020,23-05-2020,24-02-2020,24-03-2020,24-04-2020,24-05-2020,25-01-2020,25-02-2020,25-03-2020,25-04-2020,25-05-2020,26-01-2020,26-02-2020,26-03-2020,26-04-2020,26-05-2020,27-01-2020,27-02-2020,27-03-2020,27-04-2020,27-05-2020,28-01-2020,28-02-2020,28-03-2020,28-04-2020,28-05-2020,29-01-2020,29-02-2020,29-03-2020,29-04-2020,29-05-2020,30-01-2020,30-03-2020,30-04-2020,30-05-2020,31-01-2020,31-03-2020,31-05-2020
"NL, Eastern, CA",1011,1011,0,0,0,0,23,1,0,0,8,0,0,0,12,0,0,0,0,7,0,0,0,14,0,0,0,9,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,14,0,0,0,11,0,0,0,0,31,1,0,0,0,15,1,0,0,0,19,0,0,0,0,16,0,1,0,0,15,0,0,0,13,0,0,0,4,0
"NL, Central, CA",1012,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NL, Western, CA",1013,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NL, Labrador-Grenfell, CA",1014,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PEI, Prince Edward Island, CA",1100,1100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,3,0
"Nova Scotia, Zone 1 - Western, CA",1201,1201,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nova Scotia, Zone 2 - Northern, CA",1202,1202,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,3,2,0,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Nova Scotia, Zone 3 - Eastern, CA",1203,1203,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nova Scotia, Zone 4 - Central, CA",1204,1204,0,0,0,0,0,12,1,0,12,3,0,0,12,7,0,0,0,24,14,0,0,21,6,0,0,22,5,0,0,11,9,0,0,27,1,0,0,27,3,0,0,30,6,0,0,20,0,0,0,16,1,0,0,26,4,0,0,43,2,0,2,29,8,0,2,27,3,0,0,25,3,0,0,41,3,0,0,26,1,0,0,40,1,0,0,15,1,0,0,34,1,0,0,53,1,0,0,22,1,0,0,0,14,1,0,0,0,8,2,0,0,0,26,1,0,0,0,15,1,0,0,0,20,0,0,0,12,1,0,0,0
"New Brunswick, Zone 1 (Moncton area), CA",1301,1301,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
