province,country,id,value,color
,Antigua and Barbuda,0,0.0,green
,West Bank and Gaza,,0.2513089005235602,yellow
,Barbados,10,0.13513513513513511,yellow
,Latvia,100,0.27179487179487183,yellow
,Algeria,1,0.9533622559652929,red
,Belarus,101,0.9448636099825886,red
,Lithuania,102,0.21010901883052524,yellow
,Liberia,103,0.5873015873015873,orange
,Slovakia,104,0.0666049953746531,green
,Liechtenstein,105,0.0,green
,Libya,106,0.23529411764705885,yellow
,Madagascar,107,1.0,red
,Mongolia,109,1.0,red
,North Macedonia,111,0.43208751139471285,orange
,Mali,112,0.8840864440078585,red
,Morocco,113,0.46326476088698904,orange
,Mauritius,114,0.0,green
,Mauritania,115,1.0,red
,Malta,116,0.5109890109890111,orange
,Oman,117,0.9962521294718909,red
,Maldives,118,0.6848906560636184,orange
,Mexico,119,0.7362002097714467,orange
,Bahamas,12,0.125,yellow
,Malaysia,120,0.22173144876325085,yellow
,Mozambique,121,0.9677419354838709,red
,Niger,125,0.18867924528301888,yellow
,Belgium,128,0.18558882657919798,yellow
"""Korea"," South""",95,0.033081783081783084,green
,Bangladesh,13,0.983424995258866,red
,Andorra,132,0.010291595197255575,green
,Luxembourg,135,0.050570459451125496,green
,Monaco,137,0.02531645569620253,green
,Montenegro,139,0.0,green
,Belize,14,0.0,green
,Bosnia and Herzegovina,15,0.41033434650455924,orange
,Nigeria,152,0.9573954983922829,red
,Norway,154,0.06549615308739397,green
,Nepal,155,0.8828125,red
,Suriname,157,0.14285714285714288,yellow
,Nicaragua,158,0.9825918762088974,red
,New Zealand,159,0.009327115256495669,green
,Bolivia,16,1.0,red
,Paraguay,160,0.22185061315496096,yellow
,Peru,161,0.942766315683663,red
,Pakistan,162,0.9810306475531388,red
,Poland,163,0.9408730158730159,red
,Panama,164,0.6481182175017316,orange
,Portugal,165,0.27624484617824296,yellow
,Papua New Guinea,166,0.0,green
,Guinea-Bissau,167,0.500875656742557,orange
,Qatar,168,0.9642292490118577,red
,Romania,170,0.4986998768304365,orange
,Moldova,171,0.9212228101116989,red
,Philippines,172,0.7619906238730617,orange
Puerto Rico,US,173,0.9572192513368983,red
,Russia,174,0.8267114050414093,red
,Rwanda,175,0.33333333333333337,yellow
,Saudi Arabia,176,0.9759706899727778,red
,Saint Kitts and Nevis,177,0.0,green
,Seychelles,178,0.0,green
,South Africa,179,0.9748551564310544,red
,Benin,18,-0.7901234567901234,green
,Senegal,182,0.864185110663984,red
,Slovenia,183,0.0132013201320132,green
,Singapore,185,0.5834679590737749,orange
,Somalia,186,0.7742248062015504,orange
,Spain,187,0.14844185019488876,yellow
,Saint Lucia,188,0.0,green
,Sudan,189,0.9843796936016822,red
,Sweden,190,0.8340925437544954,red
,Syria,191,0.575,orange
,Switzerland,192,0.028483625355471977,green
,Trinidad and Tobago,193,0.0,green
,Thailand,194,0.01638001638001638,green
,Togo,198,0.8324324324324325,red
,Tunisia,200,0.04204993429697767,green
,Azerbaijan,2,0.9728682170542636,red
,Brazil,20,0.7796053508732946,orange
,Turkey,201,0.2757058956403885,yellow
,Tanzania,204,0.0,green
,Uganda,205,0.28178694158075596,yellow
,Ukraine,207,0.8115822130299896,red
,Burkina Faso,209,0.21654501216545013,yellow
,Uruguay,210,0.155902004454343,yellow
,Bulgaria,21,0.5635263612791703,orange
,Uzbekistan,211,0.46576032225579056,orange
,Saint Vincent and the Grenadines,212,0.09090909090909091,green
,Venezuela,213,1.0,red
,Vietnam,215,0.3130434782608696,yellow
Virgin Islands,US,216,0.0,green
,Namibia,217,0.2857142857142857,yellow
,Eswatini,220,0.44886363636363635,orange
,Brunei,22,0.0,green
,Zambia,222,0.7981574539363483,green
,Zimbabwe,223,0.9666666666666667,red
,Indonesia,224,0.9548727394507702,red
,United Arab Emirates,227,0.9683711771583288,red
,Timor-Leste,228,0.0,green
,San Marino,234,0.12349397590361444,yellow
,Serbia,237,0.2146410803127221,yellow
,Holy See,238,0.0,green
,Cambodia,24,0.011235955056179775,green
,Taiwan*,245,0.005333333333333334,green
