province,country,id,value,color,Change,Check
,Antigua and Barbuda,0,0.0,green,,
,West Bank and Gaza,,0.031413612565445000,green,,
,Barbados,10,0.14864864864864900,yellow,green,
,Latvia,100,0.30598290598290600,yellow,green,Ok
,Algeria,1,0.9524720021851950,red,,
,Belarus,101,0.9536175163951770,red,,Ok
,Lithuania,102,0.21110009910802800,yellow,green,Ok
,Liberia,103,0.507936507936508,orange,,
,Slovakia,104,0.08140610545790940,green,,Ok
,Liechtenstein,105,0.0,green,,Ok
,Libya,106,0.029411764705882400,green,,
,Madagascar,107,0.9406779661016950,red,,
,Mongolia,109,1.0,red,,
,North Macedonia,111,0.38833181403828600,yellow,,Ok
,Mali,112,0.7897838899803540,orange,green,
,Morocco,113,0.6628372962864010,orange,,
,Mauritius,114,0.0,green,,
,Mauritania,115,1.0,red,,
,Malta,116,0.3598901098901100,yellow,,Ok
,Oman,117,0.9880569591180520,red,,
,Maldives,118,0.7912524850894630,red,,
,Mexico,119,0.953647124996804,red,,
,Bahamas,12,0.14285714285714300,yellow,,
,Malaysia,120,0.23144876325088300,yellow,,
,Mozambique,121,1.0,red,,
,Niger,125,0.27358490566037700,yellow,green,
,Belgium,128,0.2514372376820800,yellow,,Ok
"""Korea"," South""",95,0.041067041067041100,green,yellow,
,Bangladesh,13,0.9925728333071810,red,,
,Andorra,132,0.030874785591766700,green,,Ok
,Luxembourg,135,0.04933703361085420,green,,Ok
,Monaco,137,0.02531645569620250,green,,Ok
,Montenegro,139,0.0,green,,Ok
,Belize,14,0.0,green,,
,Bosnia and Herzegovina,15,0.48936170212766000,orange,yellow,Ok
,Nigeria,152,0.9003215434083600,red,,
,Norway,154,0.07772736239889520,green,,Ok
,Nepal,155,1.0,red,,
,Suriname,157,0.0,green,,
,Nicaragua,158,0.8571428571428570,red,,
,New Zealand,159,0.010659560293137900,green,,
,Bolivia,16,0.9701038763617940,red,,
,Paraguay,160,0.6098104793756970,orange,red,
,Peru,161,0.9511197403328840,red,,
,Pakistan,162,0.924866284773871,red,,
,Poland,163,0.8824701195219120,red,,Ok
,Panama,164,0.7559455091202960,orange,red,
,Portugal,165,0.259372026641294,yellow,,Ok
,Papua New Guinea,166,0.0,green,,
,Guinea-Bissau,167,0.7197898423817860,orange,,
,Qatar,168,0.9776521674028600,red,,
,Romania,170,0.6065416723689610,orange,,Ok
,Moldova,171,0.9567456230690010,red,,Ok
,Philippines,172,0.7609087630724850,orange,red,
Puerto Rico,US,173,0.7386363636363640,orange,,
,Russia,174,0.919878761476181,red,,Ok
