province_country,id,value,color
"Guam, US",316,0.044444444444444446,green
"Northern Mariana Islands, US",580,0.45454545454545453,orange
"Puerto Rico, US",630,0.8282085561497327,red
"Virgin Islands, US",850,0.019607843137254905,green
"Autauga, Alabama, US",84001001,1.0,red
"Baldwin, Alabama, US",84001003,0.6515151515151515,orange
"Barbour, Alabama, US",84001005,0.9843749999999999,red
"Bibb, Alabama, US",84001007,0.275,yellow
"Blount, Alabama, US",84001009,0.18181818181818182,yellow
"Bullock, Alabama, US",84001011,1.0,red
"Butler, Alabama, US",84001013,0.7992831541218639,red
"Calhoun, Alabama, US",84001015,0.1935483870967742,yellow
"Chambers, Alabama, US",84001017,0.10294117647058823,yellow
"Cherokee, Alabama, US",84001019,0.7777777777777777,orange
"Chilton, Alabama, US",84001021,0.8157894736842106,red
"Choctaw, Alabama, US",84001023,0.9661016949152542,red
"Clarke, Alabama, US",84001025,0.9642857142857144,red
"Clay, Alabama, US",84001027,0.10526315789473685,yellow
"Cleburne, Alabama, US",84001029,0.0,green
"Coffee, Alabama, US",84001031,0.5742574257425742,orange
"Colbert, Alabama, US",84001033,0.7857142857142856,orange
"Conecuh, Alabama, US",84001035,0.888888888888889,red
"Coosa, Alabama, US",84001037,0.15384615384615385,yellow
"Covington, Alabama, US",84001039,0.3823529411764706,yellow
"Crenshaw, Alabama, US",84001041,0.5192307692307693,orange
"Cullman, Alabama, US",84001043,0.2222222222222222,yellow
"Dale, Alabama, US",84001045,0.8,red
"Dallas, Alabama, US",84001047,0.6967741935483871,orange
"DeKalb, Alabama, US",84001049,0.5179487179487179,orange
"Elmore, Alabama, US",84001051,0.9280575539568345,red
"Escambia, Alabama, US",84001053,0.2142857142857143,yellow
"Etowah, Alabama, US",84001055,0.6190476190476191,orange
"Fayette, Alabama, US",84001057,0.5714285714285715,orange
"Franklin, Alabama, US",84001059,0.8436578171091447,red
"Geneva, Alabama, US",84001061,1.0,red
"Greene, Alabama, US",84001063,0.6538461538461539,orange
"Hale, Alabama, US",84001065,0.9661016949152542,red
"Henry, Alabama, US",84001067,1.0,red
"Houston, Alabama, US",84001069,0.922077922077922,red
"Jackson, Alabama, US",84001071,0.18918918918918917,yellow
"Jefferson, Alabama, US",84001073,0.8842105263157894,red
"Lamar, Alabama, US",84001075,0.28571428571428575,yellow
"Lauderdale, Alabama, US",84001077,0.45614035087719296,orange
"Lawrence, Alabama, US",84001079,0.8518518518518517,red
"Lee, Alabama, US",84001081,0.1505681818181818,yellow
"Limestone, Alabama, US",84001083,0.3137254901960785,yellow
"Lowndes, Alabama, US",84001085,0.9444444444444444,red
"Macon, Alabama, US",84001087,0.38888888888888884,yellow
"Madison, Alabama, US",84001089,0.32124352331606215,yellow
"Marengo, Alabama, US",84001091,1.0,red
"Marion, Alabama, US",84001093,0.24390243902439027,yellow
"Marshall, Alabama, US",84001095,0.35353535353535354,yellow
"Mobile, Alabama, US",84001097,0.6872812135355892,orange
"Monroe, Alabama, US",84001099,1.0,red
"Montgomery, Alabama, US",84001101,0.9402985074626866,red
"Morgan, Alabama, US",84001103,0.8833333333333333,red
"Perry, Alabama, US",84001105,0.3,yellow
"Pickens, Alabama, US",84001107,0.8181818181818181,red
"Pike, Alabama, US",84001109,0.5277777777777778,orange
"Randolph, Alabama, US",84001111,0.3695652173913044,yellow
