province,country,id,value,color
,Antigua and Barbuda,0,1,green
,West Bank and Gaza,,19,green
,Barbados,10,3,green
,Latvia,100,29,green
,Algeria,1,187,red
,Belarus,101,947,red
,Lithuania,102,50,green
,Liberia,103,6,green
,Slovakia,104,54,green
,Liechtenstein,105,5,green
,Libya,106,15,red
,Madagascar,107,40,red
,Mongolia,109,9,green
,North Macedonia,111,76,red
,Mali,112,40,red
,Morocco,113,187,red
,Mauritius,114,18,green
,Mauritania,115,60,red
,Malta,116,18,green
,Oman,117,684,red
,Maldives,118,55,red
,Mexico,119,2049,green
,Bahamas,12,2,green
,Malaysia,120,169,red
,Mozambique,121,14,red
,Niger,125,42,green
,Belgium,128,1417,yellow
"""Korea"," South""",95,569,green
,Bangladesh,13,2286,red
,Andorra,132,29,green
,Luxembourg,135,162,green
,Monaco,137,3,green
,Montenegro,139,16,green
,Belize,14,1,green
,Bosnia and Herzegovina,15,49,green
,Nigeria,152,347,red
,Norway,154,253,green
,Nepal,155,208,red
,Suriname,157,7,green
,Nicaragua,158,83,red
,New Zealand,159,75,green
,Bolivia,16,558,red
,Paraguay,160,44,green
,Peru,161,4242,red
,Pakistan,162,3082,red
,Poland,163,394,red
,Panama,164,393,red
,Portugal,165,788,red
,Papua New Guinea,166,0,green
,Guinea-Bissau,167,57,yellow
,Qatar,168,1836,red
,Romania,170,365,red
,Moldova,171,190,red
,Philippines,172,601,red
Puerto Rico,US,173,127,red
,Russia,174,10788,red
,Rwanda,175,10,green
,Saudi Arabia,176,2565,red
,Saint Kitts and Nevis,177,0,green
,Seychelles,178,0,green
,South Africa,179,1833,red
,Benin,18,24,green
,Senegal,182,99,red
,Slovenia,183,45,green
,Singapore,185,928,red
,Somalia,186,53,red
,Spain,187,7812,yellow
,Saint Lucia,188,1,green
,Sudan,189,200,red
,Sweden,190,774,red
,Syria,191,6,green
,Switzerland,192,1090,green
,Trinidad and Tobago,193,7,green
,Thailand,194,122,green
,Togo,198,18,green
,Tunisia,200,38,green
,Azerbaijan,2,237,red
,Brazil,20,11250,green
,Turkey,201,4427,red
,Tanzania,204,26,green
,Uganda,205,30,red
,Ukraine,207,483,red
,Burkina Faso,209,20,green
,Uruguay,210,22,green
,Bulgaria,21,57,green
,Uzbekistan,211,99,red
,Saint Vincent and the Grenadines,212,1,green
,Venezuela,213,92,red
,Vietnam,215,11,green
Virgin Islands,US,216,4,green
,Namibia,217,1,green
,Eswatini,220,8,green
,Brunei,22,7,green
,Zambia,222,59,green
,Zimbabwe,223,19,red
,Indonesia,224,665,red
,United Arab Emirates,227,853,red
,Timor-Leste,228,2,green
,San Marino,234,16,green
,Serbia,237,351,yellow
,Holy See,238,0,green
,Cambodia,24,8,green
,Taiwan*,245,18,green
,Sri Lanka,25,61,red
,Congo (Brazzaville),26,16,red
,Congo (Kinshasa),27,135,red
Tibet,China,29,0,green
Qinghai,China,29,1,green
Inner Mongolia,China,29,7,green
Jilin,China,29,6,green
Xinjiang,China,29,3,green
Gansu,China,29,5,green
Hong Kong,China,29,45,green
Heilongjiang,China,29,33,green
Shaanxi,China,29,14,green
Zhejiang,China,29,82,green
Shanxi,China,29,8,green
Ningxia,China,29,3,green
Hebei,China,29,15,green
Macau,China,29,2,green
Yunnan,China,29,11,green
Guizhou,China,29,9,green
Beijing,China,29,20,green
Fujian,China,29,17,green
Jiangsu,China,29,33,green
Anhui,China,29,58,green
Liaoning,China,29,6,green
Guangxi,China,29,12,green
Shandong,China,29,28,green
Guangdong,China,29,82,green
Jiangxi,China,29,58,green
Hubei,China,29,3715,green
Tianjin,China,29,6,green
Hainan,China,29,8,green
Hunan,China,29,62,green
Henan,China,29,76,green
Sichuan,China,29,25,green
Chongqing,China,29,31,green
Shanghai,China,29,20,green
,Albania,3,21,red
,Afghanistan,30,700,red
,Bhutan,31,2,green
,Chile,32,2153,green
,Cameroon,34,233,red
,Chad,35,28,green
,Colombia,37,829,red
,Costa Rica,38,25,red
,Central African Republic,39,76,red
,Cuba,40,52,green
,Armenia,4,426,red
,Cape Verde,41,0,green
,Cyprus,43,33,green
,Djibouti,45,162,red
,Dominica,46,1,green
,Dominican Republic,47,360,red
,Ecuador,48,1748,red
,Egypt,49,1207,red
,Angola,5,3,green
,Ireland,50,868,yellow
,Equatorial Guinea,51,49,red
,Estonia,52,61,green
,Eritrea,53,2,green
,El Salvador,54,86,red
,Ethiopia,55,108,red
,Austria,56,729,yellow
,Czechia,57,275,yellow
,Finland,59,145,yellow
,Fiji,60,1,green
,Gambia,65,1,green
,Gabon,66,109,red
Georgia,US,67,866,red
,Georgia,geo_67,17,green
,Ghana,68,309,red
,Grenada,69,1,green
,Argentina,7,768,red
,Germany,71,5847,yellow
Guam,US,72,6,green
,Greece,73,86,green
,Guatemala,74,258,red
,Guinea,75,86,red
,Guyana,76,3,green
,Haiti,77,166,red
,Honduras,78,206,red
,Croatia,79,70,green
,Hungary,80,94,green
,Iceland,81,72,green
,India,82,8357,red
,Iran,83,2877,red
,Israel,84,598,yellow
,Italy,85,5670,yellow
,Cote d'Ivoire,86,91,red
,Iraq,87,485,red
,Japan,88,608,green
,Jamaica,89,22,green
,Jordan,90,30,green
,Bahrain,9,430,red
,Kenya,91,109,red
,Kyrgyzstan,92,47,red
,Kuwait,96,938,red
,Kazakhstan,97,359,red
,Laos,98,1,green
,Lebanon,99,28,red
Diamond Princess,Cruise Ship,cruise,52,green
,Diamond Princess,cruise,52,green
Faroe Islands,Denmark,den_44,12,green
Greenland,Denmark,den_45,0,green
,Denmark,den_46,303,yellow
Aruba,Netherlands,dutch_153,5,green
Curacao,Netherlands,dutch_154,0,green
Sint Maarten,Netherlands,dutch_155,4,green
,Netherlands,dutch_156,1096,yellow
French Guiana,France,fr_64,24,red
French Polynesia,France,fr_65,2,green
Guadeloupe,France,fr_66,7,green
Mayotte,France,fr_67,53,red
New Caledonia,France,fr_68,1,green
Reunion,France,fr_69,23,green
Saint Barthelemy,France,fr_70,0,green
St Martin,France,fr_71,2,green
Martinique,France,fr_72,9,green
,France,fr_73,7298,yellow
North Dakota,US,mixed_10,73,yellow
Manitoba,Canada,mixed_11,16,green
Michigan,US,mixed_12,1493,red
Maine,US,mixed_13,49,red
Quebec,Canada,mixed_14,1039,red
New Brunswick,Canada,mixed_15,7,green
Ohio,US,mixed_16,783,red
New Hampshire,US,mixed_17,94,red
New York,US,mixed_18,9680,yellow
Vermont,US,mixed_19,38,green
Pennsylvania,US,mixed_20,1569,red
