province,country,id,Yaneer,value,Our_classification,
,Antigua and Barbuda,0,green,0.1,green,
,West Bank and Gaza,,green,0.17105263157894700,yellow,X
,Barbados,10,green,0.0,green,
,Latvia,100,green,0.10344827586206900,yellow,X (boundary)
,Algeria,1,red,0.6192513368983960,orange,
,Belarus,101,red,0.8828405491024290,red,
,Lithuania,102,green,0.102,yellow,X (boundary)
,Liberia,103,green,1.1333333333333300,red,X
,Slovakia,104,green,0.022222222222222200,green,
,Liechtenstein,105,green,0.0,green,
,Libya,106,red,1.0066666666666700,red,
,Madagascar,107,red,0.9400000000000000,red,
,Mongolia,109,green,0.5166666666666670,orange,X
,North Macedonia,111,red,1.0046052631578900,red,
,Mali,112,red,0.9712500000000000,red,
,Morocco,113,red,0.25775401069518700,yellow,X
,Mauritius,114,green,0.016666666666666700,green,
,Mauritania,115,red,1.005,red,
,Malta,116,green,0.07500000000000000,green,
,Oman,117,red,1.0000730994152000,red,
,Maldives,118,red,0.7918181818181820,red,
,Mexico,119,green,0.0,green,
,Bahamas,12,green,0.1,green,
,Malaysia,120,red,0.38727810650887600,yellow,X
,Mozambique,121,red,0.9571428571428570,red,
,Niger,125,green,0.03333333333333330,green,
,Belgium,128,yellow,0.09763585038814400,green,X
"""Korea"," South""",95,green,0.017135325131810200,green,
,Bangladesh,13,red,1.0004155730533700,red,
,Andorra,132,green,0.30689655172413800,yellow,X
,Luxembourg,135,green,0.020987654320987700,green,
,Monaco,137,green,0.03333333333333330,green,
,Montenegro,139,green,0.0,green,
,Belize,14,green,0.1,green,
,Bosnia and Herzegovina,15,green,0.36836734693877600,yellow,X
,Nigeria,152,red,0.9525936599423630,red,
,Norway,154,green,0.05138339920948620,green,
,Nepal,155,red,1.0014423076923100,red,
,Suriname,157,green,1.1214285714285700,red,
,Nicaragua,158,red,0.4325301204819280,orange,
,New Zealand,159,green,0.0,green,
,Bolivia,16,red,0.9455197132616490,red,
,Paraguay,160,green,0.4693181818181820,orange,
,Peru,161,red,0.07253653936822250,green,
,Pakistan,162,red,1.0000324464633400,red,
,Poland,163,red,0.7960659898477160,red,
,Panama,164,red,0.9861323155216290,red,
,Portugal,165,red,0.35780456852791900,yellow,X
,Papua New Guinea,166,green,0,green,
,Guinea-Bissau,167,yellow,0.31842105263157900,yellow,
,Qatar,168,red,0.9486928104575160,red,
,Romania,170,red,0.436027397260274,orange,
,Moldova,171,red,0.9610526315789470,red,
,Philippines,172,red,0.9595673876871880,red,
Puerto Rico,US,173,red,0.991732283464567,red,
,Russia,174,red,0.36459028550241000,yellow,X
,Rwanda,175,green,0.775,orange,X
,Saudi Arabia,176,red,0.7062183235867450,orange,
,Saint Kitts and Nevis,177,green,0,green,
,Seychelles,178,green,0,green,
,South Africa,179,red,1.000190943807970,red,
,Benin,18,green,0.21666666666666700,yellow,X
,Senegal,182,red,0.9575757575757580,red,
,Slovenia,183,green,0.02,green,
,Singapore,185,red,0.49283405172413800,orange,
,Somalia,186,red,0.911320754716981,red,
,Spain,187,yellow,0.05307219662058370,green,X
,Saint Lucia,188,green,0.1,green,
,Sudan,189,red,0.852,red,
,Sweden,190,red,0.9197674418604650,red,
,Syria,191,green,0.050000000000000000,green,
,Switzerland,192,green,0.015366972477064200,green,
,Trinidad and Tobago,193,green,0.014285714285714300,green,
,Thailand,194,green,0.0430327868852459,green,
,Togo,198,green,0.5111111111111110,orange,
,Tunisia,200,green,0.09473684210526320,green,
,Azerbaijan,2,red,1.0018987341772200,red,
,Brazil,20,green,0.0,green,
