,class,mean_cases,population,ratio,state,date
9575,green,-258,6893574,-3.742615949288424,Massachusetts,2020-09-10
9577,green,-257,6893574,-3.7281096859190894,Massachusetts,2020-09-12
9576,green,-255,6893574,-3.699097159180419,Massachusetts,2020-09-11
9578,green,-249,6893574,-3.612059578964409,Massachusetts,2020-09-13
9581,green,-249,6893574,-3.612059578964409,Massachusetts,2020-09-16
9574,green,-247,6893574,-3.5830470522257394,Massachusetts,2020-09-09
9570,green,-247,6893574,-3.5830470522257394,Massachusetts,2020-09-05
9580,green,-246,6893574,-3.5685407888564047,Massachusetts,2020-09-15
9579,green,-243,6893574,-3.5250219987483997,Massachusetts,2020-09-14
9568,green,-234,6893574,-3.394465628424385,Massachusetts,2020-09-03
9573,green,-230,6893574,-3.3364405749470447,Massachusetts,2020-09-08
9569,green,-227,6893574,-3.2929217848390397,Massachusetts,2020-09-04
9571,green,-226,6893574,-3.278415521469705,Massachusetts,2020-09-06
9572,green,-199,6893574,-2.886746410497661,Massachusetts,2020-09-07
5560,darkgreen,0,1826913,0.0,Idaho,2020-03-13
17046,darkgreen,0,12783254,0.0,Pennsylvania,2020-02-26
17045,darkgreen,0,12783254,0.0,Pennsylvania,2020-02-25
17044,darkgreen,0,12783254,0.0,Pennsylvania,2020-02-24
17043,darkgreen,0,12783254,0.0,Pennsylvania,2020-02-23
17042,darkgreen,0,12783254,0.0,Pennsylvania,2020-02-22
17041,darkgreen,0,12783254,0.0,Pennsylvania,2020-02-21
17040,darkgreen,0,12783254,0.0,Pennsylvania,2020-02-20
5112,darkgreen,0,1407006,0.0,Hawaii,2020-02-20
5113,darkgreen,0,1407006,0.0,Hawaii,2020-02-21
17047,darkgreen,0,12783254,0.0,Pennsylvania,2020-02-27
5114,darkgreen,0,1407006,0.0,Hawaii,2020-02-22
5116,darkgreen,0,1407006,0.0,Hawaii,2020-02-24
5117,darkgreen,0,1407006,0.0,Hawaii,2020-02-25
5118,darkgreen,0,1407006,0.0,Hawaii,2020-02-26
5119,darkgreen,0,1407006,0.0,Hawaii,2020-02-27
5120,darkgreen,0,1407006,0.0,Hawaii,2020-02-28
5121,darkgreen,0,1407006,0.0,Hawaii,2020-02-29
5122,darkgreen,0,1407006,0.0,Hawaii,2020-03-01
5123,darkgreen,0,1407006,0.0,Hawaii,2020-03-02
5124,darkgreen,0,1407006,0.0,Hawaii,2020-03-03
5115,darkgreen,0,1407006,0.0,Hawaii,2020-02-23
17048,darkgreen,0,12783254,0.0,Pennsylvania,2020-02-28
4805,green,0,168485,0.0,Guam,2020-06-18
4804,green,0,168485,0.0,Guam,2020-06-17
16627,green,0,4241507,0.0,Oregon,2020-03-04
16628,green,0,4241507,0.0,Oregon,2020-03-05
16629,green,0,4241507,0.0,Oregon,2020-03-06
16630,green,0,4241507,0.0,Oregon,2020-03-07
16631,green,0,4241507,0.0,Oregon,2020-03-08
16632,green,0,4241507,0.0,Oregon,2020-03-09
16633,green,0,4241507,0.0,Oregon,2020-03-10
5566,green,0,1826913,0.0,Idaho,2020-03-19
5565,green,0,1826913,0.0,Idaho,2020-03-18
5564,green,0,1826913,0.0,Idaho,2020-03-17
5563,green,0,1826913,0.0,Idaho,2020-03-16
4776,green,0,168485,0.0,Guam,2020-05-20
4791,green,0,168485,0.0,Guam,2020-06-04
4795,green,0,168485,0.0,Guam,2020-06-08
4797,green,0,168485,0.0,Guam,2020-06-10
4798,green,0,168485,0.0,Guam,2020-06-11
4799,green,0,168485,0.0,Guam,2020-06-12
4800,green,0,168485,0.0,Guam,2020-06-13
4801,green,0,168485,0.0,Guam,2020-06-14
4802,green,0,168485,0.0,Guam,2020-06-15
4803,green,0,168485,0.0,Guam,2020-06-16
5125,darkgreen,0,1407006,0.0,Hawaii,2020-03-04
5561,green,0,1826913,0.0,Idaho,2020-03-14
5126,darkgreen,0,1407006,0.0,Hawaii,2020-03-05
5128,green,0,1407006,0.0,Hawaii,2020-03-07
5540,darkgreen,0,1826913,0.0,Idaho,2020-02-22
5541,darkgreen,0,1826913,0.0,Idaho,2020-02-23
5542,darkgreen,0,1826913,0.0,Idaho,2020-02-24
5543,darkgreen,0,1826913,0.0,Idaho,2020-02-25
5544,darkgreen,0,1826913,0.0,Idaho,2020-02-26
5545,darkgreen,0,1826913,0.0,Idaho,2020-02-27
5546,darkgreen,0,1826913,0.0,Idaho,2020-02-28
5547,darkgreen,0,1826913,0.0,Idaho,2020-02-29
5548,darkgreen,0,1826913,0.0,Idaho,2020-03-01
5539,darkgreen,0,1826913,0.0,Idaho,2020-02-21
5549,darkgreen,0,1826913,0.0,Idaho,2020-03-02
5551,darkgreen,0,1826913,0.0,Idaho,2020-03-04
5552,darkgreen,0,1826913,0.0,Idaho,2020-03-05
5553,darkgreen,0,1826913,0.0,Idaho,2020-03-06
5554,darkgreen,0,1826913,0.0,Idaho,2020-03-07
5555,darkgreen,0,1826913,0.0,Idaho,2020-03-08
5556,darkgreen,0,1826913,0.0,Idaho,2020-03-09
5557,darkgreen,0,1826913,0.0,Idaho,2020-03-10
5558,darkgreen,0,1826913,0.0,Idaho,2020-03-11
5559,darkgreen,0,1826913,0.0,Idaho,2020-03-12
5550,darkgreen,0,1826913,0.0,Idaho,2020-03-03
5538,darkgreen,0,1826913,0.0,Idaho,2020-02-20
5218,green,0,1407006,0.0,Hawaii,2020-06-05
5217,green,0,1407006,0.0,Hawaii,2020-06-04
5129,green,0,1407006,0.0,Hawaii,2020-03-08
5130,green,0,1407006,0.0,Hawaii,2020-03-09
5131,green,0,1407006,0.0,Hawaii,2020-03-10
5133,green,0,1407006,0.0,Hawaii,2020-03-12
5562,green,0,1826913,0.0,Idaho,2020-03-15
5135,green,0,1407006,0.0,Hawaii,2020-03-14
5136,green,0,1407006,0.0,Hawaii,2020-03-15
5137,green,0,1407006,0.0,Hawaii,2020-03-16
5138,green,0,1407006,0.0,Hawaii,2020-03-17
5205,green,0,1407006,0.0,Hawaii,2020-05-23
5206,green,0,1407006,0.0,Hawaii,2020-05-24
5207,green,0,1407006,0.0,Hawaii,2020-05-25
5208,green,0,1407006,0.0,Hawaii,2020-05-26
5209,green,0,1407006,0.0,Hawaii,2020-05-27
5210,green,0,1407006,0.0,Hawaii,2020-05-28
5211,green,0,1407006,0.0,Hawaii,2020-05-29
5212,green,0,1407006,0.0,Hawaii,2020-05-30
5213,green,0,1407006,0.0,Hawaii,2020-05-31
5214,green,0,1407006,0.0,Hawaii,2020-06-01
5215,green,0,1407006,0.0,Hawaii,2020-06-02
5216,green,0,1407006,0.0,Hawaii,2020-06-03
5127,darkgreen,0,1407006,0.0,Hawaii,2020-03-06
5134,green,0,1407006,0.0,Hawaii,2020-03-13
0,darkgreen,0,4921532,0.0,Alabama,2020-02-20
4775,green,0,168485,0.0,Guam,2020-05-19
17489,green,0,3189068,0.0,Puerto Rico,2020-03-14
17488,darkgreen,0,3189068,0.0,Puerto Rico,2020-03-13
17487,darkgreen,0,3189068,0.0,Puerto Rico,2020-03-12
17486,darkgreen,0,3189068,0.0,Puerto Rico,2020-03-11
17485,darkgreen,0,3189068,0.0,Puerto Rico,2020-03-10
17484,darkgreen,0,3189068,0.0,Puerto Rico,2020-03-09
17483,darkgreen,0,3189068,0.0,Puerto Rico,2020-03-08
17482,darkgreen,0,3189068,0.0,Puerto Rico,2020-03-07
17481,darkgreen,0,3189068,0.0,Puerto Rico,2020-03-06
17480,darkgreen,0,3189068,0.0,Puerto Rico,2020-03-05
17479,darkgreen,0,3189068,0.0,Puerto Rico,2020-03-04
17478,darkgreen,0,3189068,0.0,Puerto Rico,2020-03-03
